"periode_data", "wilayah"                   , "no_registrasi", "jenis_halte" , "kode_barang" , "lokasi_alamat"                                                                                                                                                                                             , "lintang"   , "bujur"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400001" , "TRANSJAKARTA", "133010135001", "Jl. Jend. Ahmad Yani, Klp. Gading Bar., Kec. Klp. Gading, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 14240 (Halte Busway Cempaka Mas 2)"                                                  , "-6.1659394", "106.87932"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400002" , "REGULER"     , "133010118004", "Jl. Raya Jakarta-Bogor, Pekayon, Kec. Ps. Rebo, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13710 (Halte Unex)"                                                                            , "-6.3507466", "106.8648539"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400003" , "TRANSJAKARTA", "133010135001", "JL. DI. Panjaitan RT.12/RW.1, Cipinang Besar Selatan, Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, 13340 (Halte Busway Penas Kalimalang)"                                                                     , "-6.239132" , "106.8778751"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400005" , "REGULER"     , "133010118004", "Jl. Sultan Iskandar Muda, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12240 (Halte Iskandar Muda)"                                          , "-6.24669"  , "106.8056655"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400028" , "TRANSJAKARTA", "133010135001", "Jl. Warung Jati Bar., Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12510 (Halte Busway Pejaten)"                                                                                          , "-6.2784468", "106.8298568"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400029" , "REGULER"     , "133010118004", "Jl. Gn. Sahari 44-45, RT.7/RW.5, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10720 (Halte BCA)"                                                   , "-6.1409666", "106.8334816"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400030" , "REGULER"     , "133010118004", "Jl. Gn. Sahari, RT.6/RW.5, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10710 (Bawah JPO Sebrang Law Office Kahar Nawir)"                          , "-6.1466535", "106.8342096"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400031" , "TRANSJAKARTA", "133010135001", "Jl. Wr. Jati Timur Raya, RT.12/RW.5, Kalibata, Kec. Pancoran, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12510 (Halte Busway Buncit Indah)"                                             , "-6.27492"  , "106.83029"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400032" , "TRANSJAKARTA", "133010135001", "Jl. Warung Buncit Raya No.324, RT.6/RW.3, Kalibata, Kec. Pancoran, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12740 (Halte Busway Warung Jati)"                                         , "-6.2624117", "106.8299219"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400033" , "REGULER"     , "133010118004", "Jl. Gn. Sahari, RT.1/RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10750 (Halte PD Inka)"                                                     , "-6.152692" , "106.8359055"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400034" , "TRANSJAKARTA", "133010135001", "Jl. Mampang Prapatan Raya RT.2/RW.1, Duren Tiga, Pancoran, Kota KOTA ADM. JAKARTA SELATAN, 12760 (Halte Busway Imigrasi)"                                                                                  , "-6.2421656", "106.8257643"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400035" , "REGULER"     , "133010118004", "Jl. Raya Jakarta-Bogor, RT.4/RW.1, Kp. Tengah, Kec. Kramat jati, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13540 (Sebrang Alfamart Dekat Polsek Ciracas)"                                , "-6.2897645", "106.8709507"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400036" , "REGULER"     , "133010118004", "Jl. Garuda, RW.8, Kemayoran, Kec. Kemayoran, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10620 (Halte Jl. Garuda)"                                                                         , "-6.1608403", "106.8481176"
"2024"        , " KOTA ADM. JAKARTA BARAT"  , "HLT202400037" , "REGULER"     , "133010118004", "Jl. Pramuka, RT.14/RW.8, Rawasari, Kec. Cemp. Putih, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10570 (Depan Braling Knalpot)"                                                            , "-6.1918155", "106.8724558"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400038" , "TRANSJAKARTA", "133010135001", "Depkes RT.7/RW.4, Kuningan Timur, Kota KOTA ADM. JAKARTA SELATAN, 12950"                                                                                                                                   , "-6.2286521", "106.8336155"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400039" , "REGULER"     , "133010118004", "Jl. Gn. Sahari, RT.10/RW.7, Gn. Sahari Sel., Kec. Kemayoran, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10710 (Sebrang Bank CIMB)"                                                        , "-6.1458483", "106.8340483"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400040" , "REGULER"     , "133010118004", "Jl. Industri Raya, Kota Tua, RW.10, Danau Sunter Dll, Kec. Pademangan, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 14410 (Sebrang Hermina Tower)"                                          , "-6.1491682", "106.8391993"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400041" , "TRANSJAKARTA", "133010135001", "JL. H.R. Rasuna Said, Menteng, 10310 KOTA ADM. JAKARTA PUSAT, Indonesia, Jakarta (Halte Busway Latuharhari)"                                                                                               , "-6.2030398", "106.8275578"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400042" , "REGULER"     , "133010118004", "Jl. Rajawali Raya 2-4, RT.5/RW.11, Halim Perdana Kusumah, Kec. Makasar, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13610 (Depan RS AU)"                                                   , "-6.2564401", "106.8914752"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400043" , "TRANSJAKARTA", "133010118004", "Jl. Iskandar Muda RT.7/RW.8, Kelurahan Kebayoran Lama Selatan, Kecamatan Kebayoran Lama (Halte Kodam)"                                                                                                     , "-6.2545648", "106.7818677"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400044" , "TRANSJAKARTA", "133010135001", "Jl. DI. Panjaitan RT.2/RW.3, Cipinang Besar Utara, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13350 (Halte Busway Pedati Prumpung)"                                 , "-6.219961" , "106.8742271"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400045" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, RW.5, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Pintu 3)"                                                               , "-6.1421856", "106.8482458"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400046" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, RW.5, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Pintu 2)"                                                               , "-6.1454653", "106.8492133"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400047" , "TRANSJAKARTA", "133010135001", "Jl. Otto Iskandardinata RT.5/RW.12, Kp. Melayu, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13330 (Halte Busway Cawang Otista)"                                      , "-6.2436829", "106.868682"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400048" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, Pademangan Tim., Kec. Kemayoran, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Parkir Timur)"                                                                 , "-6.1497004", "106.8496488"
