fare_id, route_id, origin_id, destination_id, contains_id
FP     , 1       ,          ,               , 
FP     , 2       ,          ,               , 
FP     , 3       ,          ,               , 
FP     , 4       ,          ,               , 
FP     , 5       ,          ,               , 
FP     , 6       ,          ,               , 
FP     , 7       ,          ,               , 
FP     , 8       ,          ,               , 
FP     , 9       ,          ,               , 
FP     , 10      ,          ,               , 
FP     , 11      ,          ,               , 
FP     , 12      ,          ,               , 
FP     , 13      ,          ,               , 
FP     , 14      ,          ,               , 
FP     , 10A     ,          ,               , 
FP     , 10B     ,          ,               , 
FP     , 10D     ,          ,               , 
FP     , 10H     ,          ,               , 
FP     , 11B     ,          ,               , 
FP     , 11D     ,          ,               , 
FP     , 11M     ,          ,               , 
FP     , 11Q     ,          ,               , 
FP     , 12A     ,          ,               , 
FP     , 12B     ,          ,               , 
FP     , 12C     ,          ,               , 
FP     , 12F     ,          ,               , 
FP     , 12H     ,          ,               , 
FP     , 12P     ,          ,               , 
FP     , 13B     ,          ,               , 
FP     , 1A      ,          ,               , 
FP     , 1B      ,          ,               , 
FP     , 1C      ,          ,               , 
FP     , 1E      ,          ,               , 
FP     , 1F      ,          ,               , 
FP2    , 1H      ,          ,               , 
PP     , 1K      ,          ,               , 
FP     , 1M      ,          ,               , 
FP2    , 1N      ,          ,               , 
FP2    , 1P      ,          ,               , 
FP     , 1Q      ,          ,               , 
FP2    , 1R      ,          ,               , 
FP     , 2A      ,          ,               , 
FP     , 2B      ,          ,               , 
FP     , 2F      ,          ,               , 
FP     , 2P      ,          ,               , 
FP     , 2Q      ,          ,               , 
FP     , 3A      ,          ,               , 
FP     , 3C      ,          ,               , 
FP     , 3E      ,          ,               , 
FP     , 3F      ,          ,               , 
FP2    , 4B      ,          ,               , 
FP     , 4C      ,          ,               , 
FP     , 4D      ,          ,               , 
FP     , 4E      ,          ,               , 
FP2    , 4F      ,          ,               , 
FP     , 5B      ,          ,               , 
FP     , 5C      ,          ,               , 
FP2    , 5F      ,          ,               , 
FP2    , 5M      ,          ,               , 
FP     , 5N      ,          ,               , 
FP     , 6A      ,          ,               , 
FP     , 6B      ,          ,               , 
FP     , 6C      ,          ,               , 
FP     , 6D      ,          ,               , 
FP     , 6H      ,          ,               , 
FP     , 6M      ,          ,               , 
FP     , 6N      ,          ,               , 
PP     , 6P      ,          ,               , 
FP     , 6Q      ,          ,               , 
FP2    , 6T      ,          ,               , 
FP     , 6U      ,          ,               , 
FP     , 6V      ,          ,               , 
FP2    , 7A      ,          ,               , 
FP     , 7B      ,          ,               , 
FP     , 7C      ,          ,               , 
FP     , 7D      ,          ,               , 
FP     , 7E      ,          ,               , 
FP     , 7F      ,          ,               , 
FP     , 7P      ,          ,               , 
FP2    , 7Q      ,          ,               , 
FP     , 8A      ,          ,               , 
FP2    , 8C      ,          ,               , 
FP     , 8D      ,          ,               , 
FP     , 8E      ,          ,               , 
FP     , 9A      ,          ,               , 
FP     , 9C      ,          ,               , 
FP     , 9D      ,          ,               , 
FP     , 9E      ,          ,               , 
FP     , 9F      ,          ,               , 
FP2    , 9H      ,          ,               , 
FP     , B11     ,          ,               , 
PP     , B13     ,          ,               , 
PP     , B14     ,          ,               , 
FP     , B21     ,          ,               , 
GR     , BW4     ,          ,               , 
FP     , D11     ,          ,               , 
FP2    , D21     ,          ,               , 
PP     , D31     ,          ,               , 
PP     , D32     ,          ,               , 
FP     , S11     ,          ,               , 
FP     , S21     ,          ,               , 
FP     , S22     ,          ,               , 
FP     , T11     ,          ,               , 
FP     , 14A     ,          ,               , 
FP     , 14B     ,          ,               , 
PP     , 1T      ,          ,               , 
FP     , 3H      ,          ,               , 
FP     , 6K      ,          ,               , 
FP     , 7R      ,          ,               , 
FP     , 7T      ,          ,               , 
FP     , 7U      ,          ,               , 
FP     , 7V      ,          ,               , 
FP     , 7W      ,          ,               , 
FP     , 9N      ,          ,               , 
GR     , BW1     ,          ,               , 
GR     , BW9     ,          ,               , 
PP3    , S13     ,          ,               , 
PP3    , S14     ,          ,               , 
FP     , SH1     ,          ,               , 
FP     , T12     ,          ,               , 
GR     , JAK.01  ,          ,               , 
GR     , JAK.02  ,          ,               , 
GR     , JAK.03  ,          ,               , 
GR     , JAK.04  ,          ,               , 
GR     , JAK.05  ,          ,               , 
GR     , JAK.06  ,          ,               , 
GR     , JAK.07  ,          ,               , 
GR     , JAK.08  ,          ,               , 
GR     , JAK.09  ,          ,               , 
GR     , JAK.10  ,          ,               , 
GR     , JAK.10A ,          ,               , 
GR     , JAK.11  ,          ,               , 
GR     , JAK.112 ,          ,               , 
GR     , JAK.117 ,          ,               , 
GR     , JAK.12  ,          ,               , 
GR     , JAK.13  ,          ,               , 
GR     , JAK.14  ,          ,               , 
GR     , JAK.15  ,          ,               , 
GR     , JAK.16  ,          ,               , 
GR     , JAK.17  ,          ,               , 
GR     , JAK.18  ,          ,               , 
GR     , JAK.19  ,          ,               , 
GR     , JAK.20  ,          ,               , 
GR     , JAK.21  ,          ,               , 
GR     , JAK.22  ,          ,               , 
GR     , JAK.24  ,          ,               , 
GR     , JAK.25  ,          ,               , 
