route_id,trip_id,direction_id,stop_headsign,start_time,end_time
JAK.01,JAK.01-L01,0,Plumpang,05:00:00,22:00:00
JAK.01,JAK.01-L01,0,Tanjung Priok,05:00:00,22:00:00
JAK.02,JAK.02-L01,0,Duren Sawit,05:00:00,22:00:00
JAK.02,JAK.02-L01,0,Kampung Melayu,05:00:00,22:00:00
JAK.03,JAK.03-L01,0,Andara,05:00:00,22:00:00
JAK.03,JAK.03-L01,0,Lebak Bulus,05:00:00,22:00:00
JAK.04,JAK.04-L01,0,Term. Grogol,05:00:00,22:00:00
JAK.04,JAK.04-L01,0,Tubagus Angke,05:00:00,22:00:00
JAK.05,JAK.05-L01,0,Rorotan,05:00:00,22:00:00
JAK.05,JAK.05-L01,0,Semper,05:00:00,22:00:00
JAK.06,JAK.06-R01,0,Kampung Rambutan,05:00:00,22:00:00
JAK.06,JAK.06-R01,0,Pondok Gede,05:00:00,22:00:00
JAK.06,JAK.06-R02,1,Kampung Rambutan,05:00:00,22:00:00
JAK.06,JAK.06-R02,1,Pondok Gede,05:00:00,22:00:00
JAK.07,JAK.07-L01,0,Grogol,05:00:00,22:00:00
JAK.07,JAK.07-L01,0,Grogol Via Tawakal,05:00:00,22:00:00
JAK.07,JAK.07-L01,0,Tanah Abang,05:00:00,22:00:00
JAK.09,JAK.09-L01,0,Karet,05:00:00,22:00:00
JAK.09,JAK.09-L01,0,Roxy Mas,05:00:00,22:00:00
JAK.10,JAK.10-R01,0,Juanda,05:00:00,22:00:00
JAK.10,JAK.10-R01,0,Kota,05:00:00,22:00:00
JAK.10,JAK.10-R01,0,Tanah Abang,05:00:00,22:00:00
JAK.10,JAK.10-R02,1,Juanda,05:00:00,22:00:00
JAK.10,JAK.10-R02,1,Kota,05:00:00,22:00:00
JAK.10,JAK.10-R02,1,Tanah Abang,05:00:00,22:00:00
JAK.100,JAK.100-L03,0,Rusun Pinus Elok,05:00:00,22:00:00
JAK.100,JAK.100-L03,0,Term. Pulo Gebang,05:00:00,22:00:00
JAK.100,JAK.100-L03,0,Term. Pulogebang,05:00:00,22:00:00
JAK.102,JAK.102-L01,0,Blok M,05:00:00,22:00:00
JAK.102,JAK.102-L01,0,Lebak Bulus,05:00:00,22:00:00
JAK.105,JAK.105-R01,0,Rusun Cipinang Muara,05:00:00,22:00:00
JAK.105,JAK.105-R01,0,St. Tebet,05:00:00,22:00:00
JAK.105,JAK.105-R01,0,Stasiun Tebet,05:00:00,22:00:00
JAK.105,JAK.105-R02,1,Rusun Cipinang Muara,05:00:00,22:00:00
JAK.105,JAK.105-R02,1,St. Tebet,05:00:00,22:00:00
JAK.105,JAK.105-R02,1,Stasiun Tebet,05:00:00,22:00:00
JAK.106,JAK.106-R04,0,Term. Kampung Melayu,05:00:00,22:00:00
JAK.106,JAK.106-R04,0,Term. Klender,05:00:00,22:00:00
JAK.106,JAK.106-R05,1,Term. Kampung Melayu,05:00:00,22:00:00
