trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
JAK.01-L01,0,B05729P,05:00:00,05:00:10,Plumpang,0,0,,,0,0
JAK.01-L01,1,B05694P,05:00:45,05:00:55,Plumpang,0,0,,,126.8552704,0
JAK.01-L01,2,B04523P,05:01:19,05:01:29,Plumpang,0,0,,,213.604969,0
JAK.01-L01,3,B01312P,05:01:58,05:02:08,Plumpang,0,0,,,319.1712341,0
JAK.01-L01,4,B05591P,05:02:55,05:03:05,Plumpang,0,0,,,491.2063798,0
JAK.01-L01,5,B01080P,05:03:22,05:03:32,Plumpang,0,0,,,553.4704425,0
JAK.01-L01,6,B01081P,05:03:59,05:04:09,Plumpang,0,0,,,652.6536023,0
JAK.01-L01,7,B01082P,05:04:43,05:04:53,Plumpang,0,0,,,778.4457062,0
JAK.01-L01,8,B04221P,05:05:15,05:05:25,Plumpang,0,0,,,859.2805644,0
JAK.01-L01,9,B05051P,05:05:47,05:05:57,Plumpang,0,0,,,942.0671368,0
JAK.01-L01,10,B04393P,05:06:39,05:06:49,Plumpang,0,0,,,1094.839921,0
JAK.01-L01,11,B05214P,05:07:27,05:07:37,Plumpang,0,0,,,1235.217222,0
JAK.01-L01,12,B04653P,05:12:30,05:12:40,Plumpang,0,0,,,2295.196189,0
JAK.01-L01,13,B00948P,05:13:07,05:13:17,Plumpang,0,0,,,2396.099404,0
JAK.01-L01,14,B03861P,05:13:44,05:13:54,Plumpang,0,0,,,2495.265712,0
JAK.01-L01,15,B03862P,05:14:20,05:14:30,Plumpang,0,0,,,2589.441665,0
JAK.01-L01,16,B03863P,05:14:43,05:14:53,Plumpang,0,0,,,2639.943745,0
JAK.01-L01,17,B03864P,05:15:32,05:15:42,Plumpang,0,0,,,2781.185246,0
JAK.01-L01,18,B05308P,05:19:33,05:19:43,Plumpang,0,0,,,3617.417717,0
JAK.01-L01,19,B01230P,05:20:26,05:20:36,Plumpang,0,0,,,3773.511392,0
JAK.01-L01,20,B01229P,05:21:08,05:21:18,Plumpang,0,0,,,3889.667941,0
JAK.01-L01,21,B03218P,05:22:28,05:22:38,Plumpang,0,0,,,4144.745423,0
JAK.01-L01,22,B03219P,05:22:56,05:23:06,Plumpang,0,0,,,4212.251733,0
JAK.01-L01,23,B01634P,05:26:04,05:26:14,Plumpang,0,0,,,4857.030852,0
JAK.01-L01,24,B04665P,05:29:01,05:29:11,Plumpang,0,0,,,5461.853244,0
JAK.01-L01,25,B06902P,05:30:34,05:30:44,Plumpang,0,0,,,5762.540028,0
JAK.01-L01,26,B00040P,05:31:56,05:32:06,Plumpang,0,0,,,6025.044404,0
JAK.01-L01,27,B05873P,05:33:55,05:34:05,Plumpang,0,0,,,6421.995919,0
JAK.01-L01,28,B01059P,05:37:57,05:38:07,Plumpang,0,0,,,7261.944166,0
JAK.01-L01,29,B00316P,05:39:32,05:39:42,Tanjung Priok,0,0,,,7570.967071,0
JAK.01-L01,30,B00446P,05:40:45,05:40:55,Tanjung Priok,0,0,,,7799.241181,0
JAK.01-L01,31,B05610P,05:42:27,05:42:37,Tanjung Priok,0,0,,,8134.001417,0
JAK.01-L01,32,B02891P,05:43:53,05:44:03,Tanjung Priok,0,0,,,8409.926975,0
JAK.01-L01,33,B04818P,05:45:18,05:45:28,Tanjung Priok,0,0,,,8682.395332,0
JAK.01-L01,34,B01633P,05:49:05,05:49:15,Tanjung Priok,0,0,,,9466.303733,0
JAK.01-L01,35,B05582P,05:52:47,05:52:57,Tanjung Priok,0,0,,,10233.73912,0
JAK.01-L01,36,B03747P,05:53:42,05:53:52,Tanjung Priok,0,0,,,10396.28102,0
JAK.01-L01,37,B04449P,05:54:27,05:54:37,Tanjung Priok,0,0,,,10524.56258,0
JAK.01-L01,38,B01632P,05:58:28,05:58:38,Tanjung Priok,0,0,,,11358.84324,0
JAK.01-L01,39,B01628P,05:59:00,05:59:10,Tanjung Priok,0,0,,,11441.13503,0
JAK.01-L01,40,B01631P,05:59:29,05:59:39,Tanjung Priok,0,0,,,11511.18425,0
JAK.01-L01,41,B01630P,05:59:53,06:00:03,Tanjung Priok,0,0,,,11563.44546,0
JAK.01-L01,42,B01629P,06:00:20,06:00:30,Tanjung Priok,0,0,,,11628.06526,0
JAK.01-L01,43,B01627P,06:00:51,06:01:01,Tanjung Priok,0,0,,,11707.45986,0
JAK.01-L01,44,B01626P,06:01:15,06:01:25,Tanjung Priok,0,0,,,11758.90745,0
JAK.01-L01,45,B04802P,06:02:16,06:02:26,Tanjung Priok,0,0,,,11943.67459,0
JAK.01-L01,46,B01707P,06:03:41,06:03:51,Tanjung Priok,0,0,,,12217.48168,0
JAK.01-L01,47,B01706P,06:07:04,06:07:14,Tanjung Priok,0,0,,,12917.62333,0
JAK.01-L01,48,B01705P,06:07:52,06:08:02,Tanjung Priok,0,0,,,13055.09843,0
JAK.01-L01,49,B04642P,06:08:16,06:08:26,Tanjung Priok,0,0,,,13108.56686,0
JAK.01-L01,50,B05050P,06:08:56,06:09:06,Tanjung Priok,0,0,,,13217.89743,0
JAK.01-L01,51,B02914P,06:09:21,06:09:31,Tanjung Priok,0,0,,,13275.16862,0
JAK.01-L01,52,B03704P,06:10:31,06:10:41,Tanjung Priok,0,0,,,13494.70785,0
JAK.01-L01,53,B03703P,06:11:15,06:11:25,Tanjung Priok,0,0,,,13620.01344,0
JAK.01-L01,54,B04524P,06:11:44,06:11:54,Tanjung Priok,0,0,,,13690.81922,0
JAK.01-L01,55,B03761P,06:12:44,06:12:54,Tanjung Priok,0,0,,,13873.31842,0
JAK.01-L01,56,B05589P,06:13:18,06:13:28,Tanjung Priok,0,0,,,13961.17399,0
JAK.01-L01,57,B02993P,06:14:12,06:14:22,Tanjung Priok,0,0,,,14120.01764,0
JAK.01-L01,58,B05729P,06:17:12,06:17:22,Tanjung Priok,0,0,,,14737.05779,0
JAK.01-R02,0,B01059P,05:00:00,05:00:10,Tanjung Priok,0,0,,,0,0
JAK.01-R02,1,B00316P,05:01:15,05:01:25,Tanjung Priok,0,0,,,300.0955201,0
JAK.01-R02,2,B00446P,05:02:28,05:02:38,Tanjung Priok,0,0,,,528.9513501,0
JAK.01-R02,3,B05610P,05:04:10,05:04:20,Tanjung Priok,0,0,,,862.5775195,0
JAK.01-R02,4,B02891P,05:05:36,05:05:46,Tanjung Priok,0,0,,,1139.389623,0
JAK.01-R02,5,B04818P,05:07:01,05:07:11,Tanjung Priok,0,0,,,1412.3357,0
JAK.01-R02,6,B01633P,05:10:47,05:10:57,Tanjung Priok,0,0,,,2193.680044,0
JAK.01-R02,7,B05582P,05:14:28,05:14:38,Tanjung Priok,0,0,,,2955.54613,0
JAK.01-R02,8,B03747P,05:15:22,05:15:32,Tanjung Priok,0,0,,,3118.268481,0
JAK.01-R02,9,B04449P,05:16:07,05:16:17,Tanjung Priok,0,0,,,3246.537731,0
JAK.01-R02,10,B01632P,05:20:06,05:20:16,Tanjung Priok,0,0,,,4076.607898,0
JAK.01-R02,11,B01628P,05:20:38,05:20:48,Tanjung Priok,0,0,,,4158.287681,0
JAK.01-R02,12,B01631P,05:21:06,05:21:16,Tanjung Priok,0,0,,,4224.712057,0
JAK.01-R02,13,B01630P,05:21:30,05:21:40,Tanjung Priok,0,0,,,4276.918381,0
JAK.01-R02,14,B01629P,05:21:57,05:22:07,Tanjung Priok,0,0,,,4340.843978,0
JAK.01-R02,15,B01627P,05:22:28,05:22:38,Tanjung Priok,0,0,,,4420.040272,0
JAK.01-R02,16,B01626P,05:22:52,05:23:02,Tanjung Priok,0,0,,,4472.488808,0
JAK.01-R02,17,B04802P,05:23:52,05:24:02,Tanjung Priok,0,0,,,4655.469336,0
JAK.01-R02,18,B01707P,05:25:17,05:25:27,Tanjung Priok,0,0,,,4929.648376,0
JAK.01-R02,19,B01706P,05:28:38,05:28:48,Tanjung Priok,0,0,,,5620.501579,0
JAK.01-R02,20,B01705P,05:29:25,05:29:35,Tanjung Priok,0,0,,,5756.917938,0
JAK.01-R02,21,B04642P,05:29:48,05:29:58,Tanjung Priok,0,0,,,5806.410587,0
JAK.01-R02,22,B05050P,05:30:28,05:30:38,Tanjung Priok,0,0,,,5915.520517,0
JAK.01-R02,23,B02914P,05:30:54,05:31:04,Tanjung Priok,0,0,,,5976.853914,0
JAK.01-R02,24,B03704P,05:32:04,05:32:14,Tanjung Priok,0,0,,,6195.997066,0
JAK.01-R02,25,B03703P,05:32:48,05:32:58,Tanjung Priok,0,0,,,6321.835414,0
JAK.01-R02,26,B04524P,05:33:17,05:33:27,Tanjung Priok,0,0,,,6392.665812,0
JAK.01-R02,27,B03761P,05:34:16,05:34:26,Tanjung Priok,0,0,,,6571.502381,0
JAK.01-R02,28,B05589P,05:34:50,05:35:00,Tanjung Priok,0,0,,,6659.811397,0
JAK.01-R02,29,B02993P,05:35:42,05:35:52,Tanjung Priok,0,0,,,6813.41735,0
JAK.01-R02,30,B05729P,05:36:06,05:36:16,Tanjung Priok,0,0,,,7439.914882,0
JAK.02-L01,0,B05706P,05:00:00,05:00:10,Duren Sawit,0,0,,,0,0
JAK.02-L01,1,B00138P,05:02:52,05:03:02,Duren Sawit,0,0,,,586.2946835,0
JAK.02-L01,2,B05022P,05:04:12,05:04:22,Duren Sawit,0,0,,,839.0288629,0
JAK.02-L01,3,B01432P,05:05:11,05:05:21,Duren Sawit,0,0,,,1017.316866,0
JAK.02-L01,4,B01239P,05:06:19,05:06:29,Duren Sawit,0,0,,,1227.192159,0
JAK.02-L01,5,B02338P,05:07:12,05:07:22,Duren Sawit,0,0,,,1383.908129,0
JAK.02-L01,6,B02622P,05:08:10,05:08:20,Duren Sawit,0,0,,,1559.258308,0
JAK.02-L01,7,B04606P,05:08:49,05:08:59,Duren Sawit,0,0,,,1666.726072,0
JAK.02-L01,8,B00264P,05:09:42,05:09:52,Duren Sawit,0,0,,,1825.445879,0
JAK.02-L01,9,B07271P,05:11:38,05:11:48,Duren Sawit,0,0,,,2209.624911,0
JAK.02-L01,10,B00265P,05:15:06,05:15:16,Duren Sawit,0,0,,,2925.325727,0
JAK.02-L01,11,B05535P,05:16:06,05:16:16,Duren Sawit,0,0,,,3108.439024,0
