stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00002P,,ABA,,-6.194149,106.83939,1,,0,2,,
B00006P,,ACE Hardware Kelapa Gading,,-6.157009,106.89905,1,,0,2,,
B00013P,,Ahmad Yani Pisangan Baru,,-6.211477,106.87374,1,,0,2,,
B00041P,,Ananda Pulo Gadung,,-6.185254,106.90716,1,,0,2,,
B00053P,,Antena II,,-6.25033,106.79163,1,,0,2,,
B00062P,,Aries Utama,,-6.197385,106.75145,1,,0,2,,
B00063P,,Aries Utama III,,-6.197454,106.74602,1,,0,2,,
B00065P,,Arion Mall,,-6.193631,106.89068,1,,0,2,,
B00066P,,Arsip Nasional RI 1,,-6.279439,106.81987,1,,0,2,,
B00067P,,Arsip Nasional RI 2,,-6.279481,106.81995,1,,0,2,,
B00072P,,Asrama Haji Pondok Gede,,-6.290541,106.88827,1,,0,2,,
B00075P,,Asrama Polri Cideng,,-6.178925,106.81262,1,,0,2,,
B00084P,,Atrium 2,,-6.17687,106.84042,1,,0,2,,
B00088P,,Awab Dalam,,-6.224877,106.8696,1,,0,2,,
B00092P,,Bacang Lubang Buaya,,-6.288956,106.89696,1,,0,2,,
B00093P,,Badan Diklat Kejaksaan RI,,-6.304295,106.82095,1,,0,2,,
B00025P,,Al Barkah,,-6.219597,106.84565,1,,0,2,,
B00100P,,Baladewa Residence,,-6.229648,106.91038,1,,0,2,,
B00109P,,Bangau VI,,-6.169278,106.84271,1,,0,2,,
B00114P,,UPT. LLHD 1,,-6.22577,106.83507,1,,0,2,,
B00115P,,UPT. LLHD 2,,-6.225501,106.83489,1,,0,2,,
B00116P,,Bapindo Menteng,,-6.187095,106.83566,1,,0,2,,
B00121P,,Baywalk 1,,-6.109908,106.77828,1,,0,2,,
B00122P,,Baywalk 2,,-6.110359,106.77961,1,,0,2,,
B00136P,,Bidara 1,,-6.106097,106.9595,1,,0,2,,
B00137P,,Bidara 2,,-6.106075,106.95942,1,,0,2,,
B00140P,,Billy Moon,,-6.248271,106.93093,1,,0,2,,
B00141P,,Billy Moon 2,,-6.248131,106.92944,1,,0,2,,
B00146P,,Bintaro Kodam,,-6.260196,106.76594,1,,0,2,,
B00154P,,BKN 1,,-6.258026,106.86955,1,,0,2,,
B00155P,,BKN 2,,-6.258262,106.86984,1,,0,2,,
B00156P,,Blok A,,-6.188462,106.81558,1,,0,2,,
B00159P,,Blok F,,-6.188552,106.81249,1,,0,2,,
B00166P,,Boulevard Bukit Gading Raya,,-6.15515,106.89579,1,,0,2,,
B00168P,,Boulevard Inspeksi Kali Sunter,,-6.151094,106.88901,1,,0,2,,
B00174P,,Boulevard Pelepah Raya,,-6.159256,106.90317,1,,0,2,,
