trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
JAK.48A-R02,JAK.48A,SH,Stasiun Tebet,Rusun Karet Tengsin - Stasiun Tebet,1,,JAK.48A-R02_shp,,
JAK.120-L03,JAK.120,SH,Term. Muara Angke dan JIS,JIS - Term. Muara Angke - JIS,0,,qr3h,,
JAK.17-R01,JAK.17,SH,Senen,Pulo Gadung - Senen,0,,JAK.17-R01_shp,,
JAK.23-L01,JAK.23,SH,Pisangan Baru dan Senen,Senen - Pisangan Baru - Senen,0,,JAK.23-L01_shp,,
JAK.85-R02,JAK.85,SH,Bintara,Cipinang Indah - Bintara,1,,JAK.85-R02_shp,,
JAK.12-R02,JAK.12,SH,Tanah Abang Via Pos Pengumben,Kebayoran Lama - Tanah Abang Via Pos Pengumben,1,,JAK.12-R02_shp,,
JAK.39-L02,JAK.39,SH,Duren Sawit dan Kalimalang,Kalimalang - Duren Sawit - Kalimalang,0,,3kul,,
JAK.107-R01,JAK.107,SH,Puri Beta,Jembatan Garden - Puri Beta,0,,ccie,,
JAK.107-R02,JAK.107,SH,Garden,Puri Beta - Jembatan Garden,1,,54p3,,
JAK.13-R02,JAK.13,SH,Tanah Abang,Kota Intan - Tanah Abang,1,,gji7,,
JAK.84-L03,JAK.84,SH,Kapin dan Kampung Melayu,Kampung Melayu - Kapin - Kampung Melayu,0,,kn9b,,
JAK.117-R06,JAK.117,SH,Tanjung Priok,Tanah Merdeka - Tanjung Priok,1,,hkpi,,
JAK.58-R01,JAK.58,SH,Rorotan,Cilincing - Rorotan,0,,JAK.58-R01_shp,,
JAK.58-R02,JAK.58,SH,Cilincing,Rorotan - Cilincing,1,,fwe0,,
JAK.28-R05,JAK.28,SH,St. LRT Harjamukti,Pasar Rebo - St. LRT Harjamukti,0,,l710,,
JAK.73-R05,JAK.73,SH,Pasar Rebo,Jambore - Pasar Rebo,0,,j64b,,
JAK.23-L02,JAK.23,SH,Pisangan Baru dan Senen via TL Pramuka,Senen - Pisangan Baru - Senen via TL Pramuka,0,,fnch,,
JAK.59-R04,JAK.59,SH,Rawa Sengon,Rawamangun - Rawa Sengon,1,,JAK.59-R04_shp,,
JAK.23-R02,JAK.23,SH,Senen,Pisangan Baru - Senen,1,,JAK.23-R02_shp,,
JAK.28-R06,JAK.28,SH,Pasar Rebo,St. LRT Harjamukti - Pasar Rebo,1,,5pmb,,
JAK.75-R01,JAK.75,SH,Kampung Pulo,Cililitan - Kampung Pulo,0,,JAK.75-R01_shp,,
JAK.20-L01,JAK.20,SH,Cawang Sentral dan Lubang Buaya,Lubang Buaya - Cawang Sentral - Lubang Buaya,0,,6x9c,,
JAK.20-R01,JAK.20,SH,Lubang Buaya,Cawang Sentral - Lubang Buaya,0,,JAK.20-R01_shp,,
JAK.50-L02,JAK.50,SH,Puri Kembangan dan Kalideres,Kalideres - Puri Kembangan - Kalideres,0,,kt1r,,
JAK.24-R01,JAK.24,SH,Senen Via Kelapa Gading,Pulo Gadung - Senen Via Kelapa Gading,0,,JAK.24-R01_shp,,
JAK.50-R05,JAK.50,SH,Kalideres,Puri Kembangan - Kalideres,1,,a9ru,,
JAK.08-L03,JAK.08,SH,Roxy dan Benhil,Benhil - Roxy - Benhil,0,,tt8q,,
JAK.34-R04,JAK.34,SH,Klender,Rawamangun - Klender,1,,v8q5,,
JAK.29-R03,JAK.29,SH,Sukapura,Tanjung Priok - Sukapura,1,,tjiw,,
JAK.93-L02,JAK.93,SH,Kebayoran Lama dan Jeruk Purut,Jeruk Purut - Kebayoran Lama - Jeruk Purut,0,,9vxp,,
JAK.29-R04,JAK.29,SH,Tanjung Priok,Sukapura - Tanjung Priok,0,,i8mc,,
JAK.03-L01,JAK.03,SH,Lebak Bulus dan Andara,Andara - Lebak Bulus - Andara,0,,y3f2,,
JAK.51-L01,JAK.51,SH,Budi Luhur dan Taman Kota,Jabon - Budi Luhur - Taman Kota - Jabon,0,,JAK.51-L01_shp,,
JAK.03-R01,JAK.03,SH,Andara,Lebak Bulus - Andara,0,,JAK.03-R01_shp,,
JAK.25-L02,JAK.25,SH,Pasar Rebo dan Kalisari,Kalisari - Pasar Rebo - Kalisari,0,,a3i6,,
JAK.25-R04,JAK.25,SH,Kalisari,Pasar Rebo - Kalisari,0,,5kyh,,
JAK.18-L01,JAK.18,SH,Kuningan dan Kalibata,Kalibata - Kuningan - Kalibata,0,,vq6g,,
JAK.21-R02,JAK.21,SH,Cililitan,Dwikora - Cililitan,1,,JAK.21-R02_shp,,
JAK.78A-L01,JAK.78A,SH,Cengkareng Timur dan Benda,Benda - Cengkareng Timur - Benda,0,,oc68,,
JAK.30-R02,JAK.30,SH,Grogol via Roxy,Meruya - Grogol via Roxy,1,,JAK.30-R02_shp,,
JAK.33-R03,JAK.33,SH,Pulo Gadung,Kota - Pulo Gadung,1,,aipr,,
JAK.37-R03,JAK.37,SH,Cililitan via Kayu Manis,Condet - Cililitan via Kayu Manis,1,,cczv,,
JAK.98-R01,JAK.98,SH,Munjul,Term. Kampung Rambutan - Munjul,0,,JAK.98-R01_shp,,
JAK.98-R02,JAK.98,SH,Term. Kampung Rambutan,Munjul - Term. Kampung Rambutan,1,,JAK.98-R02_shp,,
JAK.112-R02,JAK.112,SH,Tanah Merah,Pulo Gadung - Tanah Merah,1,,JAK.112-R02_shp,,
JAK.102-L01,JAK.102,SH,Lebak Bulus dan Blok M,Blok M - Lebak Bulus - Blok M,0,,j1b3,,
JAK.102-R02,JAK.102,SH,Blok M,Lebak Bulus - Blok M,1,,JAK.102-R02_shp,,
JAK.15-R04,JAK.15,SH,Rusun Marunda,Tanjung Priok - Rusun Marunda,1,,JAK.15-R04_shp,,
JAK.35-R03,JAK.35,SH,Pangkalan Jati,Rawamangun - Pangkalan Jati,1,,axj5,,
JAK.35-R05,JAK.35,SH,Rawamangun,Pangkalan Jati - Rawamangun,0,,0vw4,,
JAK.31-R02,JAK.31,SH,Blok M,Andara - Blok M,1,,JAK.31-R02_shp,,
JAK.51-R03,JAK.51,SH,Taman Kota dan Jabon,Budi Luhur - Taman Kota - Jabon,0,,xkzw,,
JAK.34-R03,JAK.34,SH,Rawamangun,Klender - Rawamangun,0,,312b,,
JAK.79-L01,JAK.79,SH,Tubagus Angke dan Cengkareng,Cengkareng - Tubagus Angke - Cengkareng,0,,fspx,,
JAK.48A-L02,JAK.48A,SH,TPU Karet Bivak dan St. Tebet,St. Tebet - TPU Karet Bivak - St. Tebet,0,,70hu,,
JAK.60-L02,JAK.60,SH,Rusun Kemayoran dan Kelapa Gading,Kelapa Gading - Rusun Kemayoran - Kelapa Gading,0,,j5ie,,
JAK.42-L02,JAK.42,SH,Kampung Melayu dan Pondok Kelapa,Pondok Kelapa - Kampung Melayu - Pondok Kelapa,0,,d6h3,,
JAK.22-L02,JAK.22,SH,Halim dan Dwikora,Dwikora - Halim - Dwikora,0,,oynz,,
JAK.33-L01,JAK.33,SH,Kota dan Pulo Gadung,Pulo Gadung - Kota - Pulo Gadung,0,,8xhv,,
JAK.47-R05,JAK.47,SH,Ciganjur,Term. Pasar Minggu - Ciganjur,1,,6dpz,,
JAK.42-R03,JAK.42,SH,Pondok Melayu,Kampung Melayu - Pondok Melayu,0,,rcxt,,
JAK.88-L02,JAK.88,SH,Ancol Barat dan Tanjung Priok,Tanjung Priok - Ancol Barat - Tanjung Priok,0,,2z7l,,
JAK.01-R02,JAK.01,SH,Tanjung Priok,Plumpang - Tanjung Priok,1,,JAK.01-R02_shp,,
JAK.06-R02,JAK.06,SH,Pondok Gede,Kampung Rambutan - Pondok Gede,1,,JAK.06-R02_shp,,
JAK.07-R02,JAK.07,SH,Tanah Abang Via Tawakal,Grogol - Tanah Abang Via Tawakal,1,,JAK.07-R02_shp,,
JAK.34-L02,JAK.34,SH,Rawamangun dan Klender,Klender - Rawamangun - Klender,0,,ssfe,,
JAK.51-L02,JAK.51,SH,Taman Kota dan Budi Luhur,Jabon - Taman Kota - Budi Luhur - Jabon,0,,JAK.51-L02_shp,,
JAK.115-R02,JAK.115,SH,Term. Tj. Priok,Pegangsaan II IGI - Term. Tj. Priok,1,,JAK.115-R04_shp,,
JAK.110A-R02,JAK.110A,SH,Rusun Marunda,Terminal Terpadu Pulo Gebang - Rusun Marunda,1,,JAK.110A-R02_shp,,
JAK.115-R01,JAK.115,SH,Pegangsaan II IGI,Term. Tj. Priok - Pegangsaan II IGI,0,,JAK.115-R01_shp,,
JAK.15-R05,JAK.15,SH,Tanjung Priok,Rusun Marunda - Tanjung Priok,0,,JAK.15-R05_shp,,
JAK.10-R01,JAK.10,SH,Kota,Tanah Abang - Kota,0,,JAK.10-R01_shp,,
JAK.11-R01,JAK.11,SH,Kebayoran Lama,Tanah Abang - Kebayoran Lama,0,,JAK.11-R01_shp,,
JAK.89-R02,JAK.89,SH,Terminal Tanjung Priok,Taman Kota Intan - Terminal Tanjung Priok,1,,JAK.89-R02_shp,,
JAK.33-R04,JAK.33,SH,Kota,Pulo Gadung - Kota,0,,JAK.33-R04_shp,,
JAK.89-L01,JAK.89,SH,Taman Kota Intan dan Terminal Tanjung Priok,Terminal Tanjung Priok - Taman Kota Intan - Terminal Tanjung Priok,0,,y3ek,,
JAK.117-R05,JAK.117,SH,Tanah Merdeka,Tanjung Priok - Tanah Merdeka,0,,v7nf,,
JAK.11-R02,JAK.11,SH,Tanah Abang,Kebayoran Lama - Tanah Abang,1,,JAK.11-R02_shp,,
JAK.19-R02,JAK.19,SH,Pinang Ranti,Kampung Rambutan - Pinang Ranti,1,,JAK.19-R02_shp,,
JAK.16-R02,JAK.16,SH,Cililitan,Condet - Cililitan,1,,JAK.16-R02_shp,,
JAK.19-R01,JAK.19,SH,Kampung Rambutan,Pinang Ranti - Kampung Rambutan,0,,JAK.19-R01_shp,,
JAK.27-R02,JAK.27,SH,Pulo Gebang,Rorotan - Pulo Gebang,1,,JAK.27-R02_shp,,
JAK.14-R01,JAK.14,SH,Meruya,Tanah Abang - Meruya,0,,JAK.14-R01_shp,,
JAK.04-R02,JAK.04,SH,Tubagus Angke,Grogol - Tubagus Angke,1,,JAK.04-R02_shp,,
JAK.04-L01,JAK.04,SH,Tubagus Angke dan Grogol,Grogol - Tubagus Angke - Grogol,0,,bwt1,,
JAK.112-R01,JAK.112,SH,Pulo Gadung,Tanah Merah - Pulo Gadung,0,,JAK.112-R01_shp,,
JAK.12-R01,JAK.12,SH,Kebayoran Lama Via Pos Pengumben,Tanah Abang - Kebayoran Lama Via Pos Pengumben,0,,JAK.12-R01_shp,,
JAK.36-R04,JAK.36,SH,Cilangkap,Cililitan - Cilangkap,1,,JAK.36-R04_shp,,
JAK.40-L04,JAK.40,SH,Harapan Baru dan Pulo Gebang,Pulo Gebang - Harapan Baru - Pulo Gebang,0,,oqsq,,
JAK.44-L01,JAK.44,SH,Stasiun Univ. Pancasila dan Andara,Andara - Stasiun Univ. Pancasila - Andara,0,,lthf,,
JAK.40-R03,JAK.40,SH,Pulo Gebang via Rawa Kuning,Harapan Baru - Pulo Gebang via Rawa Kuning,0,,JAK.40-R03_shp,,
JAK.30-R01,JAK.30,SH,Meruya Via Roxy,Grogol - Meruya Via Roxy,0,,JAK.30-R01_shp,,
JAK.40-L03,JAK.40,SH,Pulo Gebang dan Harapan Baru via Rawa Kuning,Harapan Baru - Pulo Gebang - Harapan Baru via Rawa Kuning,0,,qf2t,,
JAK.32-R02,JAK.32,SH,Lebak Bulus,Petukangan - Lebak Bulus,1,,JAK.32-R02_shp,,
JAK.32-R01,JAK.32,SH,Petukangan,Lebak Bulus - Petukangan,0,,JAK.32-R01_shp,,
JAK.47-R06,JAK.47,SH,Term. Pasar Minggu,Ciganjur - Term. Pasar Minggu,0,,nfu4,,
JAK.35-L02,JAK.35,SH,Rawamangun dan Pangkalan Jati,Pangkalan Jati - Rawamangun - Pangkalan Jati,0,,ad2n,,
JAK.38-R02,JAK.38,SH,Bulak Ringin,Kampung Rambutan - Bulak Ringin,1,,JAK.38-R02_shp,,
JAK.41-R01,JAK.41,SH,Pulo Gadung,Kampung Melayu - Pulo Gadung,0,,JAK.41-R01_shp,,
JAK.41-R02,JAK.41,SH,Kampung Melayu,Pulo Gadung - Kampung Melayu,1,,JAK.41-R02_shp,,
JAK.37-R01,JAK.37,SH,Condet Via Kayu Manis,Cililitan - Condet Via Kayu Manis,0,,JAK.37-R01_shp,,
JAK.36-R03,JAK.36,SH,Cililitan,Cilangkap - Cililitan,0,,JAK.36-R03_shp,,
JAK.59-R03,JAK.59,SH,Rawamangun,Rawa Sengon - Rawamangun,0,,JAK.59-R03_shp,,
JAK.13-L01,JAK.13,SH,Tanah Abang dan Kota Intan,Kota Intan - Tanah Abang - Kota Intan,0,,v04x,,
JAK.13-L02,JAK.13,SH,Grogol dan Tanah Abang,Tanah Abang - Grogol - Tanah Abang,0,,3x16,,
JAK.13-R01,JAK.13,SH,Kota Intan,Tanah Abang - Kota Intan,0,,wk9c,,
JAK.48A-R01,JAK.48A,SH,Rusun Karet Tengsin,Stasiun Tebet - Rusun Karet Tengsin,0,,JAK.48A-R01_shp,,
JAK.75-R03,JAK.75,SH,Cililitan,Kampung Pulo - Cililitan,1,,JAK.75-R03_shp,,
JAK.39-L01,JAK.39,SH,Duren Sawit dan Kalimalang,Kalimalang - Duren Sawit - Kalimalang,0,,cq1b,,
JAK.56-L02,JAK.56,SH,Srengseng dan Grogol,Grogol - Srengseng - Grogol,0,,v3uw,,
JAK.71-R01,JAK.71,SH,Pinang Ranti,Kampung Rambutan - Pinang Ranti,0,,JAK.71-R01_shp,,
JAK.71-R02,JAK.71,SH,Kampung Rambutan,Pinang Ranti - Kampung Rambutan,1,,JAK.71-R02_shp,,
JAK.87-R02,JAK.87,SH,Term. Tanjung Priok,Term. Rawamangun - Term. Tanjung Priok,1,,JAK.87-R02_shp,,
JAK.76-R02,JAK.76,SH,Jln. Industri Raya,ASMI - Jln. Industri Raya,1,,JAK.76-R02_shp,,
JAK.99-R02,JAK.99,SH,Term. Pulo Gadung,Lampiri - Term. Pulo Gadung,1,,JAK.99-R02_shp,,
JAK.72-R02,JAK.72,SH,Kampung Rambutan Via Poncol,Pasar Rebo - Kampung Rambutan Via Poncol,1,,JAK.72-R02_shp,,
JAK.80-R01,JAK.80,SH,Rawa Kompeni,Rawa Buaya - Rawa Kompeni,0,,JAK.80-R01_shp,,
JAK.72-R01,JAK.72,SH,Pasar Rebo Via Poncol,Kampung Rambutan - Pasar Rebo Via Poncol,0,,JAK.72-R01_shp,,
JAK.99-R01,JAK.99,SH,Lampiri,Term. Pulo Gadung - Lampiri,0,,JAK.99-R01_shp,,
JAK.54-L01,JAK.54,SH,Bendungan Hilir dan Grogol,Grogol - Bendungan Hilir - Grogol,0,,u5v5,,
JAK.90-R01,JAK.90,SH,Rusun Kemayoran,Terminal Tanjung Priok - Rusun Kemayoran,0,,JAK.90-R01_shp,,
JAK.87-R01,JAK.87,SH,Term. Rawamangun,Term. Tanjung Priok - Term. Rawamangun,0,,JAK.87-R01_shp,,
JAK.76-R01,JAK.76,SH,ASMI,Jln. Industri Raya - ASMI,0,,JAK.76-R01_shp,,
JAK.74-L01,JAK.74,SH,Rawamangun dan Cipinang Muara,Cipinang Muara - Rawamangun - Cipinang Muara,0,,um65,,
