trip_id     , start_time, end_time, headway_secs, exact_times
BW1-L02     , 10:00:00  , 17:00:00,        52700,           0
BW2-L02     , 10:00:00  , 17:00:00,        52700,           0
BW4-L01     , 10:00:00  , 17:00:00,        52700,           0
BW9-L03     , 10:00:00  , 17:00:00,        52700,           0
1H-L02      , 05:00:00  , 18:15:00,         3600,           0
1H-R02      , 05:00:00  , 17:45:00,         3600,           0
12-L01      , 05:00:00  , 22:00:00,         3600,           0
13-L03      , 05:00:00  , 22:00:00,         3600,           0
2Q-R01      , 05:00:00  , 22:00:00,         3600,           0
2Q-R02      , 05:00:00  , 22:00:00,         3600,           0
3-L02       , 05:00:00  , 22:00:00,         3600,           0
6D-R04      , 05:00:00  , 22:00:00,         3600,           0
7B-L06      , 05:00:00  , 22:00:00,         3600,           0
8A-R07      , 05:00:00  , 22:00:00,         3600,           0
8-L08       , 05:00:00  , 22:00:00,         3600,           0
9F-R01      , 05:00:00  , 22:00:00,         3600,           0
9-P23       , 05:00:00  , 22:00:00,         3600,           0
D32-R01     , 05:00:00  , 09:00:00,         3600,           0
D32-R02     , 16:45:00  , 18:30:00,         3600,           0
S12-L04     , 16:45:00  , 18:30:00,         3600,           0
S31-L01     , 05:00:00  , 09:00:00,         3600,           0
S31-L02     , 16:45:00  , 18:30:00,         3600,           0
S31-R01     , 05:00:00  , 09:00:00,         3600,           0
S31-R02     , 16:45:00  , 18:30:00,         3600,           0
9F-R02      , 05:00:00  , 22:00:00,         3600,           0
13-L05      , 05:00:00  , 22:00:00,         3600,           0
B11-L07     , 05:00:00  , 22:00:00,         3600,           0
S22-R05     , 05:00:00  , 14:45:00,         3600,           0
6A-L04      , 05:00:00  , 20:15:00,         3600,           0
S11-R05     , 05:00:00  , 18:15:00,         3600,           0
11Q-R05     , 05:00:00  , 21:30:00,         3600,           0
6B-L04      , 05:00:00  , 20:30:00,         3600,           0
T11-R10     , 05:00:00  , 22:00:00,         3600,           0
S11-R07     , 05:00:00  , 13:15:00,         3600,           0
14B-L01     , 05:00:00  , 21:00:00,         3600,           0
3C-L02      , 05:00:00  , 21:00:00,         3600,           0
3D-R05      , 05:00:00  , 22:00:00,         3600,           0
3D-R03      , 05:00:00  , 08:00:00,         3600,           0
10-P21      , 05:00:00  , 16:45:00,         3600,           0
9F-L01      , 05:00:00  , 20:30:00,         3600,           0
12A-R03     , 05:00:00  , 20:15:00,         3600,           0
12A-L02     , 05:00:00  , 20:15:00,         3600,           0
9-P24       , 05:00:00  , 18:30:00,         3600,           0
12H-L02     , 05:00:00  , 21:45:00,         3600,           0
1A-L03      , 05:00:00  , 14:15:00,         3600,           0
10H-R09     , 05:00:00  , 21:00:00,         3600,           0
1P-R04      , 05:00:00  , 20:00:00,         3600,           0
4-P22       , 05:00:00  , 21:15:00,         3600,           0
9C-R02      , 05:00:00  , 18:45:00,         3600,           0
8-L09       , 05:00:00  , 18:00:00,         3600,           0
2B-R05      , 05:00:00  , 20:30:00,         3600,           0
7Q-L01      , 05:00:00  , 18:00:00,         3600,           0
12-P03      , 05:00:00  , 18:00:00,         3600,           0
1N-P22      , 05:00:00  , 20:45:00,         3600,           0
12F-L02     , 05:00:00  , 19:45:00,         3600,           0
S22-T01     , 05:00:00  , 07:30:00,         3600,           0
6P-L01      , 05:00:00  , 06:45:00,         3600,           0
1T-R04      , 16:00:00  , 20:00:00,         3600,           0
4-P24       , 05:00:00  , 16:15:00,         3600,           0
5M-L03      , 05:00:00  , 22:00:00,         3600,           0
5M-L05      , 05:00:00  , 22:00:00,         3600,           0
5M-L06      , 09:00:00  , 15:00:00,         3600,           0
5M-P21      , 05:00:00  , 22:00:00,         3600,           0
9E-P21      , 05:00:00  , 11:00:00,         3600,           0
S13-R01     , 06:00:00  , 09:00:00,         3600,           0
S13-R02     , 17:30:00  , 21:00:00,         3600,           0
S14-R01     , 06:00:00  , 09:00:00,         3600,           0
S14-R02     , 17:30:00  , 21:00:00,         3600,           0
11M-L02     , 05:00:00  , 21:00:00,         3600,           0
12-R03      , 00:00:00  , 23:59:59,         3600,           0
8-L07       , 05:00:00  , 16:30:00,         3600,           0
7U-R01      , 05:00:00  , 06:00:00,         3600,           0
11R-L01     , 05:00:00  , 22:00:00,         3600,           0
9D-P23      , 05:00:00  , 22:00:00,         3600,           0
1-P33       , 05:00:00  , 17:30:00,         3400,           0
T11-R11     , 05:00:00  , 22:00:00,         3300,           0
SH1-L02     , 05:00:00  , 22:00:00,         3000,           0
T11-P05     , 05:00:00  , 10:45:00,         2800,           0
B13-R01     , 05:00:00  , 09:15:00,         2770,           0
B13-R02     , 16:45:00  , 18:30:00,         2770,           0
D11-R12     , 16:00:00  , 19:00:00,         2760,           0
S12-R05     , 16:30:00  , 19:00:00,         2700,           0
S12-R06     , 06:00:00  , 08:15:00,         2700,           0
13-L10      , 16:00:00  , 19:00:00,         2700,           0
6P-R01      , 05:00:00  , 09:00:00,         2500,           0
6P-R02      , 16:45:00  , 18:30:00,         2500,           0
8A-L05      , 05:00:00  , 22:00:00,         2400,           0
B14-R01     , 05:00:00  , 09:15:00,         2400,           0
B14-R02     , 16:45:00  , 18:30:00,         2400,           0
12-R04      , 00:00:00  , 23:59:59,         2300,           0
10A-L02     , 05:00:00  , 22:00:00,         2180,           0
T12-R04     , 05:00:00  , 18:45:00,         2057,           0
12C-R01     , 05:00:00  , 22:00:00,         1860,           0
12C-R02     , 05:00:00  , 22:00:00,         1860,           0
1-P37       , 05:00:00  , 22:00:00,         1800,           0
5-P21       , 05:00:00  , 19:45:00,         1800,           0
13-P05      , 09:00:00  , 12:00:00,         1800,           0
1H-R01      , 05:00:00  , 19:30:00,         1800,           0
3H-R06      , 05:00:00  , 21:30:00,         1800,           0
T21-R02     , 16:00:00  , 20:00:00,         1800,           0
