route_id, trip_id     , direction_id, stop_headsign                   , start_time, end_time
1       , 1-R07       ,            0, Blok M                          , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Bundaran HI Astra               , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Bundaran Senayan                , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Kali Besar Barat                , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Kota                            , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Monumen Nasional                , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Taman Sari                      , 00:00:00  , 23:59:00
1       , 1-R07       ,            0, Tosari                          , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Blok M                          , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Bundaran HI Astra               , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Bundaran Senayan                , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Kali Besar Barat                , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Kota                            , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Monumen Nasional                , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Taman Sari                      , 00:00:00  , 23:59:00
1       , 1-R08       ,            1, Tosari                          , 00:00:00  , 23:59:00
10      , 10-R01      ,            0, Halim                           , 00:00:00  , 23:59:00
10      , 10-R01      ,            0, PGC                             , 00:00:00  , 23:59:00
10      , 10-R01      ,            0, Sunter Kelapa Gading            , 00:00:00  , 23:59:00
10      , 10-R01      ,            0, Tanjung Priok                   , 00:00:00  , 23:59:00
10      , 10-R01      ,            0, Walikota Jakarta Utara          , 00:00:00  , 23:59:00
10      , 10-R02      ,            1, Halim                           , 00:00:00  , 23:59:00
10      , 10-R02      ,            1, PGC                             , 00:00:00  , 23:59:00
10      , 10-R02      ,            1, Sunter Kelapa Gading            , 00:00:00  , 23:59:00
10      , 10-R02      ,            1, Tanjung Priok                   , 00:00:00  , 23:59:00
10      , 10-R02      ,            1, Walikota Jakarta Utara          , 00:00:00  , 23:59:00
10A     , 10A-L02     ,            0, Rusun Marunda                   , 05:00:00  , 22:00:00
10A     , 10A-L02     ,            0, Tanjung Priok                   , 05:00:00  , 22:00:00
10B     , 10B-L01     ,            0, Halim                           , 05:00:00  , 22:00:00
10B     , 10B-L01     ,            0, Rusun Cipinang Besar Selatan    , 05:00:00  , 22:00:00
10D     , 10D-R01     ,            0, Kampung Rambutan                , 05:00:00  , 22:00:00
10D     , 10D-R01     ,            0, Tanjung Priok                   , 05:00:00  , 22:00:00
10D     , 10D-R02     ,            1, Kampung Rambutan                , 05:00:00  , 22:00:00
10D     , 10D-R02     ,            1, Tanjung Priok                   , 05:00:00  , 22:00:00
10H     , 10H-L04     ,            0, Bundaran Senayan                , 05:00:00  , 22:00:00
10H     , 10H-L04     ,            0, Tanjung Priok                   , 05:00:00  , 22:00:00
11      , 11-R03      ,            0, Kampung Melayu                  , 00:00:00  , 23:59:00
11      , 11-R03      ,            0, Pulo Gebang                     , 00:00:00  , 23:59:00
11      , 11-R02      ,            1, Kampung Melayu                  , 00:00:00  , 23:59:00
11      , 11-R02      ,            1, Pulo Gebang                     , 00:00:00  , 23:59:00
11B     , 11B-L02     ,            0, Penggilingan                    , 05:00:00  , 22:00:00
11B     , 11B-L02     ,            0, Rusun Rawa Bebek                , 05:00:00  , 22:00:00
11C     , 11C-L03     ,            0, Penggilingan                    , 05:00:00  , 22:00:00
11C     , 11C-L03     ,            0, Rusun Pulo Gebang               , 05:00:00  , 22:00:00
11M     , 11M-L02     ,            0, Bukit Duri                      , 05:00:00  , 22:00:00
11M     , 11M-L02     ,            0, Rusun Rawa Bebek                , 05:00:00  , 22:00:00
11Q     , 11Q-L04     ,            0, Kampung Melayu via BKT          , 05:00:00  , 22:00:00
11Q     , 11Q-L04     ,            0, Pulo Gebang via BKT             , 05:00:00  , 22:00:00
11R     , 11R-L01     ,            0, Penggilingan via Rusun PIK      , 05:00:00  , 22:00:00
11R     , 11R-L01     ,            0, Rusun Cakung KM 2               , 05:00:00  , 22:00:00
11R     , 11R-L01     ,            0, Rusun Cakung KM 2 via Rusun PIK , 05:00:00  , 22:00:00
11W     , 11W-L02     ,            0, JIEP                            , 05:00:00  , 22:00:00
11W     , 11W-L02     ,            0, Pulo Gadung                     , 05:00:00  , 22:00:00
12      , 12-L01      ,            0, Sunter Boulevard Barat          , 00:00:00  , 23:59:00
12      , 12-L01      ,            0, Kota                            , 00:00:00  , 23:59:00
12      , 12-R01      ,            0, Sunter Boulevard Barat          , 00:00:00  , 23:59:00
12      , 12-R01      ,            0, Penjaringan                     , 00:00:00  , 23:59:00
12      , 12-R02      ,            1, Sunter Boulevard Barat          , 00:00:00  , 23:59:00
12      , 12-R02      ,            1, Penjaringan                     , 00:00:00  , 23:59:00
12      , 12-R03      ,            0, Pluit                           , 00:00:00  , 23:59:00
12      , 12-R03      ,            0, Tanjung Priok                   , 00:00:00  , 23:59:00
12      , 12-R04      ,            1, Pluit                           , 00:00:00  , 23:59:00
12      , 12-R04      ,            1, Tanjung Priok                   , 00:00:00  , 23:59:00
12A     , 12A-L02     ,            0, Kali Adem                       , 05:00:00  , 22:00:00
12A     , 12A-L02     ,            0, Kota                            , 05:00:00  , 22:00:00
12B     , 12B-R03     ,            0, Pluit                           , 05:00:00  , 22:00:00
12B     , 12B-R03     ,            0, Senen                           , 05:00:00  , 22:00:00
12B     , 12B-R04     ,            1, Pluit                           , 05:00:00  , 22:00:00
12B     , 12B-R04     ,            1, Senen                           , 05:00:00  , 22:00:00
12A     , 12A-R03     ,            0, Kali Adem                       , 05:00:00  , 22:00:00
12A     , 12A-R03     ,            0, Kota                            , 05:00:00  , 22:00:00
12C     , 12C-L01     ,            0, Penjaringan                     , 05:00:00  , 22:00:00
12C     , 12C-L01     ,            0, Rusun Waduk Pluit               , 05:00:00  , 22:00:00
12F     , 12F-L02     ,            0, Rusun Marunda                   , 05:00:00  , 22:00:00
12F     , 12F-L02     ,            0, Rusun Waduk Pluit               , 05:00:00  , 22:00:00
12H     , 12H-L02     ,            0, Penjaringan                     , 05:00:00  , 22:00:00
12H     , 12H-L02     ,            0, Rusun Penjaringan               , 05:00:00  , 22:00:00
12P     , 12P-R01     ,            0, Jakarta International Stadium   , 05:00:00  , 22:00:00
12P     , 12P-R01     ,            0, JIS                             , 05:00:00  , 22:00:00
12P     , 12P-R01     ,            0, St. LRT Pegangsaan Dua          , 05:00:00  , 22:00:00
12P     , 12P-R02     ,            1, Jakarta International Stadium   , 05:00:00  , 22:00:00
12P     , 12P-R02     ,            1, JIS                             , 05:00:00  , 22:00:00
12P     , 12P-R02     ,            1, St. LRT Pegangsaan Dua          , 05:00:00  , 22:00:00
13B     , 13B-L01     ,            0, Pancoran                        , 05:00:00  , 22:00:00
13B     , 13B-L01     ,            0, Puri Beta                       , 05:00:00  , 22:00:00
14      , 14-L04      ,            0, Jakarta International Stadium   , 00:00:00  , 23:59:00
14      , 14-L04      ,            0, Senen                           , 00:00:00  , 23:59:00
14A     , 14A-L02     ,            0, Jakarta International Stadium   , 05:00:00  , 22:00:00
14A     , 14A-L02     ,            0, Monumen Nasional                , 05:00:00  , 22:00:00
14B     , 14B-L01     ,            0, Senen                           , 05:00:00  , 22:00:00
14B     , 14B-L01     ,            0, Tanjung Priok                   , 05:00:00  , 22:00:00
1A      , 1A-R09      ,            0, Balai Kota                      , 05:00:00  , 22:00:00
1A      , 1A-R09      ,            0, Kota                            , 05:00:00  , 22:00:00
1A      , 1A-R09      ,            0, Pantai Maju                     , 05:00:00  , 22:00:00
1A      , 1A-R09      ,            0, Penjaringan                     , 05:00:00  , 22:00:00
1A      , 1A-R11      ,            1, Balai Kota                      , 05:00:00  , 22:00:00
1A      , 1A-R11      ,            1, Kota                            , 05:00:00  , 22:00:00
1A      , 1A-R11      ,            1, Pantai Maju                     , 05:00:00  , 22:00:00
1A      , 1A-R11      ,            1, Penjaringan                     , 05:00:00  , 22:00:00
1B      , 1B-L02      ,            0, St. Palmerah                    , 05:00:00  , 22:00:00
1B      , 1B-L02      ,            0, Transport Hub Dukuh Atas        , 05:00:00  , 22:00:00
1C      , 1C-R01      ,            0, Blok M                          , 05:00:00  , 22:00:00
1C      , 1C-R01      ,            0, Pesanggrahan                    , 05:00:00  , 22:00:00
1C      , 1C-R02      ,            1, Blok M                          , 05:00:00  , 22:00:00
