route_id, agency_id, route_short_name, route_long_name                                    , route_desc             , route_type, route_url, route_color, route_text_color, route_sort_order
1       , Tije     , 1               , Blok M - Kota                                      , BRT                    ,          3,          , D62126     , FFFFFF          ,                 
2       , Tije     , 2               , Pulo Gadung - Monas                                , BRT                    ,          3,          , 2F489C     , FFFFFF          ,                 
3       , Tije     , 3               , Kalideres - Monas via Veteran                      , BRT                    ,          3,          , FDCB1C     , 000000          ,                 
4       , Tije     , 4               , Pulo Gadung - Galunggung                           , BRT                    ,          3,          , 512C62     , FFFFFF          ,                 
5       , Tije     , 5               , Kampung Melayu - Ancol                             , BRT                    ,          3,          , D46425     , 000000          ,                 
6       , Tije     , 6               , Ragunan - Galunggung                               , BRT                    ,          3,          , 1BAC47     , FFFFFF          ,                 
7       , Tije     , 7               , Kampung Rambutan - Kampung Melayu                  , BRT                    ,          3,          , 914900     , FFFFFF          ,                 
8       , Tije     , 8               , Lebak Bulus - Pasar Baru                           , BRT                    ,          3,          , DD3393     , FFFFFF          ,                 
9       , Tije     , 9               , Pinang Ranti - Pluit                               , BRT                    ,          3,          , 45A49E     , FFFFFF          ,                 
10      , Tije     , 10              , Tanjung Priok - PGC                                , BRT                    ,          3,          , 9B1F21     , FFFFFF          ,                 
11      , Tije     , 11              , Pulo Gebang - Kampung Melayu                       , BRT                    ,          3,          , 312F92     , FFFFFF          ,                 
12      , Tije     , 12              , Tanjung Priok - Pluit                              , BRT                    ,          3,          , 7ABF7C     , 000000          ,                 
13      , Tije     , 13              , Ciledug - Tegal Mampang                            , BRT                    ,          3,          , 7A357B     , FFFFFF          ,                 
14      , Tije     , 14              , Jakarta International Stadium - Senen              , BRT                    ,          3,          , F5AB6E     , 000000          ,                 
10A     , Tije     , 10A             , Rusun Marunda - Tanjung Priok                      , Rusun                  ,          3,          , 9B7172     , 000000          ,                 
10B     , Tije     , 10B             , Rusun Cipinang Besar Selatan - Halim               , Rusun                  ,          3,          , 9B7172     , 000000          ,                 
10D     , Tije     , 10D             , Kampung Rambutan - Tanjung Priok                   , BRT                    ,          3,          , 9B1F21     , FFFFFF          ,                 
10H     , Tije     , 10H             , Tanjung Priok - Bundaran Senayan                   , BRT                    ,          3,          , 9B1F21     , FFFFFF          ,                 
11B     , Tije     , 11B             , Rusun Rawa Bebek - Penggilingan                    , Rusun                  ,          3,          , 717092     , FFFFFF          ,                 
11C     , Tije     , 11C             , Rusun Pulo Gebang - Penggilingan                   , Rusun                  ,          3,          , 717092     , FFFFFF          ,                 
11D     , Tije     , 11D             , Pulo Gebang - Pulo Gadung via PIK                  , Angkutan Umum Integrasi,          3,          , 504F92     , FFFFFF          ,                 
11M     , Tije     , 11M             , Rusun Rawa Bebek - Bukit Duri                      , Rusun                  ,          3,          , 717092     , FFFFFF          ,                 
11P     , Tije     , 11P             , Rusun Pondok Bambu - Walikota Jakarta Timur        , Rusun                  ,          3,          , 717092     , FFFFFF          ,                 
11Q     , Tije     , 11Q             , Kampung Melayu - Pulo Gebang via BKT               , Angkutan Umum Integrasi,          3,          , 504F92     , FFFFFF          ,                 
11R     , Tije     , 11R             , Rusun Cakung KM 2 - Penggilingan via Rusun PIK     , Rusun                  ,          3,          , 717092     , FFFFFF          ,                 
11W     , Tije     , 11W             , St. Klender - Pulo Gadung via JIEP                 , Angkutan Umum Integrasi,          3,          , 504f92     , FFFFFF          ,                 
12A     , Tije     , 12A             , Pelabuhan Kaliadem - Kota                          , Angkutan Umum Integrasi,          3,          , 91BF91     , 000000          ,                 
12B     , Tije     , 12B             , Pluit - Senen                                      , Angkutan Umum Integrasi,          3,          , 91BF91     , 000000          ,                 
12C     , Tije     , 12C             , Rusun Waduk Pluit - Penjaringan                    , Rusun                  ,          3,          , A8BFA8     , 000000          ,                 
12F     , Tije     , 12F             , Rusun Marunda - Rusun Waduk Pluit                  , Rusun                  ,          3,          , A8BFA8     , 000000          ,                 
12H     , Tije     , 12H             , Rusun Penjaringan - Penjaringan                    , Rusun                  ,          3,          , A8BFA8     , 000000          ,                 
12P     , Tije     , 12P             , St. LRT Pegangsaan Dua - JIS                       , Angkutan Umum Integrasi,          3,          , 91BF91     , 000000          ,                 
13B     , Tije     , 13B             , Puri Beta - Pancoran                               , BRT                    ,          3,          , 7A357B     , FFFFFF          ,                 
13E     , Tije     , 13E             , Puri Beta - Kuningan                               , BRT                    ,          3,          , 7A357B     , FFFFFF          ,                 
14A     , Tije     , 14A             , Monumen Nasional - Jakarta International Stadium   , Angkutan Umum Integrasi,          3,          , F5AB6E     , 000000          ,                 
14B     , Tije     , 14B             , Tanjung Priok - Senen via JIS                      , Angkutan Umum Integrasi,          3,          , F5AB6E     , 000000          ,                 
1A      , Tije     , 1A              , Pantai Maju - Balai Kota                           , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1B      , Tije     , 1B              , Stasiun Palmerah - Transport Hub Dukuh Atas        , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1C      , Tije     , 1C              , Pesanggrahan - Blok M                              , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1E      , Tije     , 1E              , Pondok Labu - Blok M                               , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1F      , Tije     , 1F              , Stasiun Palmerah - Bundaran Senayan                , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1H      , Tije     , 1H              , Tanah Abang - Stasiun Gondangdia                   , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1K      , Tije     , 1K              , Cibubur Junction - Blok M                          , Royaltrans             ,          3,          , 9C4782     , FFFFFF          ,                 
1M      , Tije     , 1M              , Meruya - Blok M                                    , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1N      , Tije     , 1N              , Tanah Abang - Blok M                               , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1P      , Tije     , 1P              , Senen - Blok M                                     , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1Q      , Tije     , 1Q              , Rempoa - Blok M                                    , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1R      , Tije     , 1R              , Senen - Tanah Abang                                , Angkutan Umum Integrasi,          3,          , D65E62     , 000000          ,                 
1T      , Tije     , 1T              , Cibubur - Balai Kota                               , Royaltrans             ,          3,          , 9C4782     , FFFFFF          ,                 
2A      , Tije     , 2A              , Pulo Gadung - Rawa Buaya via Balai Kota            , BRT                    ,          3,          , 2F489C     , FFFFFF          ,                 
2B      , Tije     , 2B              , Harapan Indah - Pulo Gadung                        , Angkutan Umum Integrasi,          3,          , 54659C     , FFFFFF          ,                 
2F      , Tije     , 2F              , Rusun Cakung Barat - Pulo Gadung                   , Rusun                  ,          3,          , 78809C     , 000000          ,                 
2H      , Tije     , 2H              , Rusun Jati Rawasari - Senen                        , Rusun                  ,          3,          , 78809C     , 000000          ,                 
2P      , Tije     , 2P              , Senen - Transport Hub Dukuh Atas                   , Angkutan Umum Integrasi,          3,          , 54659C     , FFFFFF          ,                 
2Q      , Tije     , 2Q              , Gondangdia - Balai Kota                            , Angkutan Umum Integrasi,          3,          , 54659C     , FFFFFF          ,                 
3A      , Tije     , 3A              , Rusun Pesakih - Kalideres                          , Rusun                  ,          3,          , FDECB4     , 000000          ,                 
3C      , Tije     , 3C              , Rusun Kapuk Muara - Penjaringan                    , Rusun                  ,          3,          , FDECB4     , 000000          ,                 
