trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
10A-L02,0,B03282P,05:00:00,05:00:10,Tanjung Priok,0,0,,,0,0
10A-L02,1,B03283P,05:03:01,05:03:11,Tanjung Priok,0,0,,,617.3913305,0
10A-L02,2,B05078P,05:04:48,05:04:58,Tanjung Priok,0,0,,,969.1478046,0
10A-L02,3,B06039P,05:07:51,05:08:01,Tanjung Priok,0,0,,,1596.217243,0
10A-L02,4,B00136P,05:08:46,05:08:56,Tanjung Priok,0,0,,,1760.710745,0
10A-L02,5,B06790P,05:09:32,05:09:42,Tanjung Priok,0,0,,,1893.02073,0
10A-L02,6,B05158P,05:10:05,05:10:15,Tanjung Priok,0,0,,,1976.178153,0
10A-L02,7,B05038P,05:16:10,05:16:20,Tanjung Priok,0,0,,,3257.775038,0
10A-L02,8,B01855P,05:18:29,05:18:39,Tanjung Priok,0,0,,,3725.196098,0
10A-L02,9,B07449P,05:22:29,05:22:39,Tanjung Priok,0,0,,,4558.307555,0
10A-L02,10,B06245P,05:24:30,05:24:40,Tanjung Priok,0,0,,,4960.82708,0
10A-L02,11,B06246P,05:26:40,05:26:50,Tanjung Priok,0,0,,,5396.635074,0
10A-L02,12,B01858P,05:28:47,05:28:57,Tanjung Priok,0,0,,,5819.516323,0
10A-L02,13,B06234P,05:31:06,05:31:16,Tanjung Priok,0,0,,,6288.622616,0
10A-L02,14,B06235P,05:33:21,05:33:31,Tanjung Priok,0,0,,,6741.566774,0
10A-L02,15,B06162P,05:34:35,05:34:45,Tanjung Priok,0,0,,,6973.798276,0
10A-L02,16,B06163P,05:35:17,05:35:27,Tanjung Priok,0,0,,,7091.566162,0
10A-L02,17,B06257P,05:37:01,05:37:11,Tanjung Priok,0,0,,,7431.919147,0
10A-L02,18,B06164P,05:38:14,05:38:24,Tanjung Priok,0,0,,,7660.497768,0
10A-L02,19,B06258P,05:41:04,05:41:14,Tanjung Priok,0,0,,,8239.782063,0
10A-L02,20,B06165P,05:41:54,05:42:04,Tanjung Priok,0,0,,,8385.052809,0
10A-L02,21,B04964P,05:42:29,05:42:39,Tanjung Priok,0,0,,,8476.9871,0
10A-L02,22,B02761P,05:43:55,05:44:05,Tanjung Priok,0,0,,,8752.810017,0
10A-L02,23,B02253P,05:46:20,05:46:30,Tanjung Priok,0,0,,,9241.198341,0
10A-L02,24,B03211P,05:47:05,05:47:15,Tanjung Priok,0,0,,,9370.584942,0
10A-L02,25,B01325P,05:47:30,05:47:40,Tanjung Priok,0,0,,,9426.316472,0
10A-L02,26,B01324P,05:48:51,05:49:01,Tanjung Priok,0,0,,,9683.186188,0
10A-L02,27,B01327P,05:49:48,05:49:58,Tanjung Priok,0,0,,,9852.972983,0
10A-L02,28,B01326P,05:50:15,05:50:25,Tanjung Priok,0,0,,,9917.760708,0
10A-L02,29,B00338P,05:52:43,05:52:53,Tanjung Priok,0,0,,,10416.515,0
10A-L02,30,B02949P,05:54:27,05:54:37,Tanjung Priok,0,0,,,10757.09821,0
10A-L02,31,B01056P,05:55:43,05:55:53,Tanjung Priok,0,0,,,10998.20916,0
10A-L02,32,B02993P,05:57:37,05:57:47,Tanjung Priok,0,0,,,11374.30225,0
10A-L02,33,B05728P,05:59:18,05:59:28,Tanjung Priok,0,0,,,11706.36561,0
10A-L02,34,B03236P,06:01:32,06:01:42,Rusun Marunda,0,0,,,12156.41304,0
10A-L02,35,B04231P,06:03:57,06:04:07,Rusun Marunda,0,0,,,12644.2137,0
10A-L02,36,B00339P,06:05:42,06:05:52,Rusun Marunda,0,0,,,12989.25937,0
10A-L02,37,B02953P,06:08:45,06:08:55,Rusun Marunda,0,0,,,13614.23698,0
10A-L02,38,B00717P,06:10:55,06:11:05,Rusun Marunda,0,0,,,14049.36045,0
10A-L02,39,B06160P,06:11:57,06:12:07,Rusun Marunda,0,0,,,14239.61775,0
10A-L02,40,B06237P,06:14:24,06:14:34,Rusun Marunda,0,0,,,14735.52469,0
10A-L02,41,B06238P,06:16:37,06:16:47,Rusun Marunda,0,0,,,15180.98477,0
10A-L02,42,B06240P,06:21:24,06:21:34,Rusun Marunda,0,0,,,16182.80633,0
10A-L02,43,B06161P,06:22:55,06:23:05,Rusun Marunda,0,0,,,16475.66995,0
10A-L02,44,B06199P,06:24:09,06:24:19,Rusun Marunda,0,0,,,16710.03081,0
10A-L02,45,B06200P,06:25:52,06:26:02,Rusun Marunda,0,0,,,17048.47385,0
10A-L02,46,B02170P,06:28:28,06:28:38,Rusun Marunda,0,0,,,17575.76695,0
10A-L02,47,B06248P,06:30:38,06:30:48,Rusun Marunda,0,0,,,18009.6234,0
10A-L02,48,B06249P,06:32:48,06:32:58,Rusun Marunda,0,0,,,18443.38314,0
10A-L02,49,B06250P,06:34:04,06:34:14,Rusun Marunda,0,0,,,18685.11965,0
10A-L02,50,B07450P,06:35:03,06:35:13,Rusun Marunda,0,0,,,18864.64025,0
10A-L02,51,B01854P,06:39:06,06:39:16,Rusun Marunda,0,0,,,19708.42832,0
10A-L02,52,B05039P,06:41:27,06:41:37,Rusun Marunda,0,0,,,20181.59429,0
10A-L02,53,B04697P,06:47:29,06:47:39,Rusun Marunda,0,0,,,21452.55581,0
10A-L02,54,B06789P,06:48:02,06:48:12,Rusun Marunda,0,0,,,21536.92688,0
10A-L02,55,B00137P,06:48:50,06:49:00,Rusun Marunda,0,0,,,21677.16075,0
10A-L02,56,B05530P,06:49:53,06:50:03,Rusun Marunda,0,0,,,21870.67286,0
10A-L02,57,B03265P,06:52:48,06:52:58,Rusun Marunda,0,0,,,22468.74748,0
10A-L02,58,B03284P,06:54:31,06:54:41,Rusun Marunda,0,0,,,22804.60454,0
10A-L02,59,B03282P,06:55:18,06:55:28,Rusun Marunda,0,0,,,22941.3349,0
10A-R01,0,B03282P,05:00:00,05:00:10,Tanjung Priok,0,0,,,0,0
10A-R01,1,B03283P,05:03:00,05:03:10,Tanjung Priok,0,0,,,617.1984308,0
10A-R01,2,B05078P,05:04:47,05:04:57,Tanjung Priok,0,0,,,968.9393315,0
10A-R01,3,B06039P,05:07:50,05:08:00,Tanjung Priok,0,0,,,1595.922746,0
10A-R01,4,B00136P,05:08:45,05:08:55,Tanjung Priok,0,0,,,1760.45779,0
10A-R01,5,B06789P,05:09:32,05:09:42,Tanjung Priok,0,0,,,1896.931361,0
10A-R01,6,B05158P,05:10:04,05:10:14,Tanjung Priok,0,0,,,1976.791263,0
10A-R01,7,B05038P,05:16:09,05:16:19,Tanjung Priok,0,0,,,3258.388141,0
10A-R01,8,B01855P,05:18:28,05:18:38,Tanjung Priok,0,0,,,3725.809195,0
10A-R01,9,B07449P,05:22:28,05:22:38,Tanjung Priok,0,0,,,4559.163912,0
10A-R01,10,B06245P,05:24:29,05:24:39,Tanjung Priok,0,0,,,4961.683432,0
10A-R01,11,B06246P,05:26:39,05:26:49,Tanjung Priok,0,0,,,5397.491014,0
10A-R01,12,B01858P,05:28:46,05:28:56,Tanjung Priok,0,0,,,5820.522682,0
10A-R01,13,B06234P,05:31:05,05:31:15,Tanjung Priok,0,0,,,6289.629055,0
10A-R01,14,B06235P,05:33:20,05:33:30,Tanjung Priok,0,0,,,6742.573213,0
10A-R01,15,B06162P,05:34:34,05:34:44,Tanjung Priok,0,0,,,6974.804698,0
