stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00002P,,ABA,,-6.194149,106.83939,1,,0,2,,
B00003P,,Acacia Residence,,-6.263358,106.75675,1,,0,2,,
B00004P,,ACC Simatupang,,-6.304475,106.84858,1,,0,2,,
B00005P,,ACE Hardware,,-6.387532,106.82738,1,,0,2,,
B00006P,,ACE Hardware Kelapa Gading,,-6.157009,106.89905,1,,0,2,,
B00013P,,Ahmad Yani Pisangan Baru,,-6.211477,106.87374,1,,0,2,,
B00029P,,Al Mahbubiyah,,-6.291866,106.81255,1,,0,2,,
B00031P,,Al Wathoniyah 1,,-6.192036,106.9353,1,,0,2,,
B00032P,,Al Wathoniyah 2,,-6.192425,106.93568,1,,0,2,,
B00036P,,Ampera 2,,-6.292641,106.81563,1,,0,2,,
B00037P,,Ampera 3,,-6.291196,106.81706,1,,0,2,,
B00038P,,Ampera 4,,-6.291345,106.8172,1,,0,2,,
B00039P,,Ampera Garden,,-6.288794,106.81818,1,,0,2,,
B00041P,,Ananda Pulo Gadung,,-6.185254,106.90716,1,,0,2,,
B00048P,,Aneka PIK Penggilingan,,-6.202636,106.92867,1,,0,2,,
B00053P,,Antena II,,-6.25033,106.79163,1,,0,2,,
B05801P,,Transmart MH Thamrin 2,,-6.207705,106.628074,1,,0,2,,
B00058P,,Apartemen Simprug Teras,,-6.232197,106.78874,1,,0,2,,
B00062P,,Aries Utama,,-6.197385,106.75145,1,,0,2,,
B00063P,,Aries Utama III,,-6.197454,106.74602,1,,0,2,,
B00064P,,Ariobimo Sentral,,-6.227471,106.83328,1,,0,2,,
B00065P,,Arion Mall,,-6.193631,106.89068,1,,0,2,,
B00066P,,Arsip Nasional RI 1,,-6.279439,106.81987,1,,0,2,,
B00067P,,Arsip Nasional RI 2,,-6.279481,106.81995,1,,0,2,,
B00072P,,Asrama Haji Pondok Gede,,-6.290541,106.88827,1,,0,2,,
B00075P,,Asrama Polri Cideng,,-6.178925,106.81262,1,,0,2,,
B00078P,,Astek,,-6.291175,106.66598,1,,0,2,,
B00079P,,Aston Pluit 1,,-6.124693,106.79511,1,,0,2,,
B00080P,,Aston Pluit 2,,-6.124268,106.79419,1,,0,2,,
B00081P,,At Thahiriah 1,,-6.210032,106.93803,1,,0,2,,
B00082P,,At Thahiriah 2,,-6.210011,106.93809,1,,0,2,,
B00084P,,Atrium 2,,-6.17687,106.84042,1,,0,2,,
B00087P,,Auto 2000,,-6.25922,106.78922,1,,0,2,,
B00088P,,Awab Dalam,,-6.224877,106.8696,1,,0,2,,
B00092P,,Bacang Lubang Buaya,,-6.288956,106.89696,1,,0,2,,
B00093P,,Badan Diklat Kejaksaan RI,,-6.304295,106.82095,1,,0,2,,
B00025P,,Al Barkah,,-6.219597,106.84565,1,,0,2,,
B07340P,,Skybridge Summarecon Serpong,,-6.240672,106.62945,1,,0,2,,
B00098P,,Baileys Lagoon City,,-6.315461,106.74677,1,,0,2,,
B00100P,,Baladewa Residence,,-6.229648,106.91038,1,,0,2,,
B00101P,,Balai Kartini,,-6.234791,106.82457,1,,0,2,,
B00102P,,Balai Kota 1,,-6.180598,106.82847,1,,0,1,,
B00104P,,Balai Pertamina,,-6.229555,106.79052,1,,0,2,,
B00105P,,Balai Sudirman,,-6.227043,106.84742,1,,0,2,,
B00108P,,Bandar Djakarta Bekasi,,-6.227085,106.99683,1,,0,2,,
B00109P,,Bangau VI,,-6.169278,106.84271,1,,0,2,,
B00113P,,Bank Indonesia 2,,-6.182667,106.82275,1,,0,2,,
B00114P,,UPT. LLHD 1,,-6.22577,106.83507,1,,0,2,,
B00115P,,UPT. LLHD 2,,-6.225501,106.83489,1,,0,2,,
B00116P,,Bapindo Menteng,,-6.187095,106.83566,1,,0,2,,
B00117P,,Batalyon Kavaleri 1,,-6.252806,106.65064,1,,0,2,,
B00118P,,Batalyon Kavaleri 2,,-6.252704,106.65081,1,,0,2,,
B00120P,,Baung,,-6.302036,106.83656,1,,0,2,,
B00121P,,Baywalk 1,,-6.109908,106.77828,1,,0,2,,
B00122P,,Baywalk 2,,-6.110359,106.77961,1,,0,2,,
B00125P,,Benhil 1,,-6.217304,106.8154,1,,0,2,,
B00126P,,Benhil 2,,-6.216775,106.8154,1,,0,2,,
B00128P,,Benteng Betawi,,-6.174158,106.65559,1,,0,2,,
B00132P,,Beverly Tower,,-6.291805,106.78636,1,,0,2,,
B00133P,,Bhayangkara 1,,-6.236949,106.64549,1,,0,2,,
B00134P,,Bhayangkara 2,,-6.236714,106.64559,1,,0,2,,
B00136P,,Bidara 1,,-6.106097,106.9595,1,,0,2,,
B00137P,,Bidara 2,,-6.106075,106.95942,1,,0,2,,
B00140P,,Billy Moon,,-6.248271,106.93093,1,,0,2,,
B00141P,,Billy Moon 2,,-6.248131,106.92944,1,,0,2,,
B00144P,,Bintaro,,-6.271245,106.75133,1,,0,2,,
B00145P,,Bintaro Gg. Masjid,,-6.27026,106.75217,1,,0,2,,
B00146P,,Bintaro Kodam,,-6.260196,106.76594,1,,0,2,,
B00148P,,Bintaro Xchange,,-6.286813,106.72865,1,,0,2,,
B00154P,,BKN 1,,-6.258026,106.86955,1,,0,2,,
B00155P,,BKN 2,,-6.258262,106.86984,1,,0,2,,
B00156P,,Blok A,,-6.188462,106.81558,1,,0,2,,
B00158P,,Blok E,,-6.18497,106.81463,1,,0,2,,
B00159P,,Blok F,,-6.188552,106.81249,1,,0,2,,
B00163P,,BNI Syariah,,-6.227256,106.83291,1,,0,2,,
B00166P,,Boulevard Bukit Gading Raya,,-6.15515,106.89579,1,,0,2,,
B00168P,,Boulevard Inspeksi Kali Sunter,,-6.151094,106.88901,1,,0,2,,
B00174P,,Boulevard Pelepah Raya,,-6.159256,106.90317,1,,0,2,,
B00178P,,BPJS Kesehatan Sultan Hasanudin,,-6.242517,106.80229,1,,0,2,,
B00183P,,BRI Jakarta Kota,,-6.135104,106.80752,1,,0,2,,
B00129P,,Bercabuana Sakti,,-6.270086,106.76549,1,,0,2,,
B00184P,,BRI Menteng,,-6.186792,106.83514,1,,0,2,,
B00185P,,Brimob Pejaten Barat 2,,-6.270925,106.84644,1,,0,2,,
B00188P,,BSD Plaza 1,,-6.278263,106.66103,1,,0,2,,
B00189P,,BSD Plaza 2,,-6.280847,106.66305,1,,0,2,,
B00190P,,BSI 1,,-6.237724,106.76225,1,,0,2,,
B00191P,,BSI 2,,-6.237609,106.76252,1,,0,2,,
B00192P,,BSI Cengkareng,,-6.147973,106.72781,1,,0,2,,
B00138P,,Bidara Cina 1,,-6.22996,106.867336,1,,0,2,,
B00195P,,Buaran Plaza,,-6.217983,106.9235,1,,0,2,,
B00197P,,Buddha Tzu Chi,,-6.107998,106.73942,1,,0,2,,
B00198P,,Budhaya Santo Agustinus,,-6.220866,106.92346,1,,0,2,,
B00201P,,Budiwarman 1,,-6.279071,106.87019,1,,0,2,,
B00205P,,Bukit Duri,,-6.21551,106.86293,1,,0,2,,
