from_stop_id, to_stop_id, transfer_type, min_transfer_time
H00027C     , H00010P   ,             0, 
H00128P     , H00129P   ,             0, 
H00070P     , H00071P   ,             0, 
H00035P     , H00032P   ,             0, 
H00160P     , H00181P   ,             0, 
H00113P     , H00115P   ,             0, 
H00270P     , H00269P   ,             0, 
H00010P     , H00027C   ,             0, 
H00129P     , H00128P   ,             0, 
H00071P     , H00070P   ,             0, 
H00032P     , H00035P   ,             0, 
H00181P     , H00160P   ,             0, 
H00115P     , H00113P   ,             0, 
H00269P     , H00270P   ,             0, 
